County,State,FIPS,Lyme Disease Incidence Reported
Marathon,Wisconsin,55073,39
Manitowoc,Wisconsin,55071,17
Lincoln,Wisconsin,55069,24
Langlade,Wisconsin,55067,4
Lafayette,Wisconsin,55065,1
La Crosse,Wisconsin,55063,37
Kewaunee,Wisconsin,55061,0
Kenosha,Wisconsin,55059,26
Juneau,Wisconsin,55057,33
Jefferson,Wisconsin,55055,17
Jackson,Wisconsin,55053,15
Iron,Wisconsin,55051,2
Iowa,Wisconsin,55049,9
Green Lake,Wisconsin,55047,16
Green,Wisconsin,55045,6
Grant,Wisconsin,55043,33
Forest,Wisconsin,55041,1
Fond du Lac,Wisconsin,55039,25
Florence,Wisconsin,55037,10
Eau Claire,Wisconsin,55035,67
Dunn,Wisconsin,55033,15
Douglas,Wisconsin,55031,52
Door,Wisconsin,55029,33
Dodge,Wisconsin,55027,16
Dane,Wisconsin,55025,144
Crawford,Wisconsin,55023,23
Columbia,Wisconsin,55021,47
Clark,Wisconsin,55019,4
Chippewa,Wisconsin,55017,36
Calumet,Wisconsin,55015,14
Burnett,Wisconsin,55013,35
Buffalo,Wisconsin,55011,12
Brown,Wisconsin,55009,79
Bayfield,Wisconsin,55007,12
Barron,Wisconsin,55005,21
Ashland,Wisconsin,55003,0
Adams,Wisconsin,55001,45
Wyoming,West Virginia,54109,1
Wood,West Virginia,54107,1
Wirt,West Virginia,54105,0
Wetzel,West Virginia,54103,18
Webster,West Virginia,54101,0
Wayne,West Virginia,54099,0
Upshur,West Virginia,54097,25
Tyler,West Virginia,54095,0
Tucker,West Virginia,54093,3
Taylor,West Virginia,54091,2
Summers,West Virginia,54089,1
Roane,West Virginia,54087,1
Ritchie,West Virginia,54085,0
Randolph,West Virginia,54083,5
Raleigh,West Virginia,54081,18
Putnam,West Virginia,54079,4
Preston,West Virginia,54077,10
Pocahontas,West Virginia,54075,3
Pleasants,West Virginia,54073,1
Pendleton,West Virginia,54071,3
Ohio,West Virginia,54069,10
Nicholas,West Virginia,54067,0
Morgan,West Virginia,54065,7
Monroe,West Virginia,54063,9
Monongalia,West Virginia,54061,63
Mingo,West Virginia,54059,26
Mineral,West Virginia,54057,13
Mercer,West Virginia,54055,13
Mason,West Virginia,54053,1
Marshall,West Virginia,54051,4
Marion,West Virginia,54049,14
McDowell,West Virginia,54047,0
Logan,West Virginia,54045,0
Lincoln,West Virginia,54043,1
Lewis,West Virginia,54041,3
Kanawha,West Virginia,54039,12
Jefferson,West Virginia,54037,41
Jackson,West Virginia,54035,1
Harrison,West Virginia,54033,26
Hardy,West Virginia,54031,2
Hancock,West Virginia,54029,22
Hampshire,West Virginia,54027,26
Greenbrier,West Virginia,54025,16
Grant,West Virginia,54023,2
Gilmer,West Virginia,54021,0
Fayette,West Virginia,54019,2
Doddridge,West Virginia,54017,4
Clay,West Virginia,54015,1
Calhoun,West Virginia,54013,1
Cabell,West Virginia,54011,168
Brooke,West Virginia,54009,2
Braxton,West Virginia,54007,2
Boone,West Virginia,54005,9
Berkeley,West Virginia,54003,23
Barbour,West Virginia,54001,9
Yakima,Washington,53077,1
Whitman,Washington,53075,1
Whatcom,Washington,53073,2
Walla Walla,Washington,53071,0
Wahkiakum,Washington,53069,0
Thurston,Washington,53067,5
Stevens,Washington,53065,0
Spokane,Washington,53063,1
Snohomish,Washington,53061,5
Skamania,Washington,53059,0
Skagit,Washington,53057,1
San Juan,Washington,53055,0
Pierce,Washington,53053,4
Pend Oreille,Washington,53051,0
Pacific,Washington,53049,0
Okanogan,Washington,53047,0
Mason,Washington,53045,0
Lincoln,Washington,53043,0
Lewis,Washington,53041,0
Klickitat,Washington,53039,0
Kittitas,Washington,53037,0
Kitsap,Washington,53035,2
King,Washington,53033,18
Jefferson,Washington,53031,0
Island,Washington,53029,0
Grays Harbor,Washington,53027,0
Grant,Washington,53025,0
Garfield,Washington,53023,0
Franklin,Washington,53021,0
Ferry,Washington,53019,0
Douglas,Washington,53017,0
Cowlitz,Washington,53015,0
Columbia,Washington,53013,0
Clark,Washington,53011,0
Clallam,Washington,53009,1
Chelan,Washington,53007,0
Benton,Washington,53005,1
Asotin,Washington,53003,0
Adams,Washington,53001,1
Winchester city,Virginia,51840,12
Williamsburg city,Virginia,51830,2
Waynesboro city,Virginia,51820,1
Virginia Beach city,Virginia,51810,13
Suffolk city,Virginia,51800,0
Staunton city,Virginia,51790,5
Salem city,Virginia,51775,1
Roanoke city,Virginia,51770,21
Richmond city,Virginia,51760,9
Radford city,Virginia,51750,4
Portsmouth city,Virginia,51740,0
Poquoson city,Virginia,51735,1
Petersburg city,Virginia,51730,0
Norton city,Virginia,51720,0
Norfolk city,Virginia,51710,1
Newport News city,Virginia,51700,0
Martinsville city,Virginia,51690,1
Manassas Park city,Virginia,51685,1
Manassas city,Virginia,51683,4
Lynchburg city,Virginia,51680,13
Lexington city,Virginia,51678,1
Hopewell city,Virginia,51670,0
Harrisonburg city,Virginia,51660,6
Hampton city,Virginia,51650,3
Galax city,Virginia,51640,9
Fredericksburg city,Virginia,51630,1
Franklin city,Virginia,51620,0
Falls Church city,Virginia,51610,0
Fairfax city,Virginia,51600,0
Emporia city,Virginia,51595,0
Danville city,Virginia,51590,0
Covington city,Virginia,51580,3
Colonial Heights city,Virginia,51570,0
Chesapeake city,Virginia,51550,7
Charlottesville city,Virginia,51540,13
Buena Vista city,Virginia,51530,1
Bristol city,Virginia,51520,0
Alexandria city,Virginia,51510,18
York,Virginia,51199,1
Wythe,Virginia,51197,23
Wise,Virginia,51195,1
Westmoreland,Virginia,51193,0
Washington,Virginia,51191,4
Warren,Virginia,51187,22
Tazewell,Virginia,51185,3
Sussex,Virginia,51183,0
Surry,Virginia,51181,0
Stafford,Virginia,51179,13
Spotsylvania,Virginia,51177,9
Southampton,Virginia,51175,0
Smyth,Virginia,51173,6
Shenandoah,Virginia,51171,21
Scott,Virginia,51169,0
Russell,Virginia,51167,0
Rockingham,Virginia,51165,14
Rockbridge,Virginia,51163,14
Roanoke,Virginia,51161,38
Richmond,Virginia,51159,0
Rappahannock,Virginia,51157,4
Pulaski,Virginia,51155,31
Prince William,Virginia,51153,27
Prince George,Virginia,51149,0
Prince Edward,Virginia,51147,0
Powhatan,Virginia,51145,0
Pittsylvania,Virginia,51143,1
Patrick,Virginia,51141,2
Page,Virginia,51139,7
Orange,Virginia,51137,6
Nottoway,Virginia,51135,0
Northumberland,Virginia,51133,1
Northampton,Virginia,51131,0
New Kent,Virginia,51127,0
Nelson,Virginia,51125,4
Montgomery,Virginia,51121,31
Middlesex,Virginia,51119,1
Mecklenburg,Virginia,51117,0
Mathews,Virginia,51115,0
Madison,Virginia,51113,3
Lunenburg,Virginia,51111,0
Louisa,Virginia,51109,5
Loudoun,Virginia,51107,161
Lee,Virginia,51105,1
Lancaster,Virginia,51103,0
King William,Virginia,51101,1
King George,Virginia,51099,9
King and Queen,Virginia,51097,0
James City,Virginia,51095,2
Isle of Wight,Virginia,51093,0
Highland,Virginia,51091,2
Henry,Virginia,51089,3
Henrico,Virginia,51087,4
Hanover,Virginia,51085,1
Halifax,Virginia,51083,1
Greensville,Virginia,51081,0
Greene,Virginia,51079,7
Grayson,Virginia,51077,10
Goochland,Virginia,51075,0
Gloucester,Virginia,51073,2
Giles,Virginia,51071,7
Frederick,Virginia,51069,42
Franklin,Virginia,51067,1
Fluvanna,Virginia,51065,12
Floyd,Virginia,51063,32
Fauquier,Virginia,51061,32
Fairfax,Virginia,51059,113
Essex,Virginia,51057,0
Dinwiddie,Virginia,51053,1
Dickenson,Virginia,51051,0
Cumberland,Virginia,51049,1
Culpeper,Virginia,51047,12
Craig,Virginia,51045,2
Clarke,Virginia,51043,8
Chesterfield,Virginia,51041,12
Charlotte,Virginia,51037,0
Charles City,Virginia,51036,0
Carroll,Virginia,51035,34
Caroline,Virginia,51033,3
Campbell,Virginia,51031,10
Buckingham,Virginia,51029,0
Buchanan,Virginia,51027,0
Brunswick,Virginia,51025,0
Botetourt,Virginia,51023,12
Bland,Virginia,51021,2
Bedford,Virginia,51019,22
Bedford,Virginia,51019,0
Bath,Virginia,51017,4
Augusta,Virginia,51015,25
Arlington,Virginia,51013,12
Appomattox,Virginia,51011,1
Amherst,Virginia,51009,7
Amelia,Virginia,51007,0
Alleghany,Virginia,51005,0
Albemarle,Virginia,51003,20
Accomack,Virginia,51001,1
Windsor,Vermont,50027,161
Windham,Vermont,50025,133
Washington,Vermont,50023,62
Rutland,Vermont,50021,184
Orleans,Vermont,50019,0
Orange,Vermont,50017,40
Lamoille,Vermont,50015,21
Grand Isle,Vermont,50013,26
Franklin,Vermont,50011,45
Essex,Vermont,50009,0
Chittenden,Vermont,50007,207
Caledonia,Vermont,50005,22
Bennington,Vermont,50003,83
Addison,Vermont,50001,80
Weber,Utah,49057,0
Wayne,Utah,49055,0
Washington,Utah,49053,1
Wasatch,Utah,49051,0
Utah,Utah,49049,4
Utah,Utah,49049,0
Uintah,Utah,49047,0
Tooele,Utah,49045,0
Summit,Utah,49043,1
Sevier,Utah,49041,0
Sanpete,Utah,49039,0
San Juan,Utah,49037,0
Salt Lake,Utah,49035,8
Rich,Utah,49033,0
Piute,Utah,49031,0
Morgan,Utah,49029,0
Millard,Utah,49027,0
Kane,Utah,49025,0
Juab,Utah,49023,0
Iron,Utah,49021,0
Grand,Utah,49019,0
Garfield,Utah,49017,0
Emery,Utah,49015,0
Duchesne,Utah,49013,0
Davis,Utah,49011,4
Daggett,Utah,49009,0
Carbon,Utah,49007,0
Cache,Utah,49005,1
Box Elder,Utah,49003,0
Beaver,Utah,49001,0
Zavala,Texas,48507,0
Zapata,Texas,48505,0
Young,Texas,48503,0
Yoakum,Texas,48501,0
Wood,Texas,48499,0
Wise,Texas,48497,0
Winkler,Texas,48495,0
Wilson,Texas,48493,0
Williamson,Texas,48491,0
Willacy,Texas,48489,0
Wilbarger,Texas,48487,0
Wichita,Texas,48485,0
Wheeler,Texas,48483,0
Wharton,Texas,48481,0
Webb,Texas,48479,0
Washington,Texas,48477,0
Ward,Texas,48475,0
Waller,Texas,48473,0
Walker,Texas,48471,0
Victoria,Texas,48469,0
Van Zandt,Texas,48467,0
Val Verde,Texas,48465,0
Uvalde,Texas,48463,0
Upton,Texas,48461,0
Upshur,Texas,48459,0
Tyler,Texas,48457,0
Trinity,Texas,48455,0
Travis,Texas,48453,0
Tom Green,Texas,48451,0
Titus,Texas,48449,0
Throckmorton,Texas,48447,0
Terry,Texas,48445,0
Terrell,Texas,48443,0
Taylor,Texas,48441,0
Tarrant,Texas,48439,0
Swisher,Texas,48437,0
Sutton,Texas,48435,0
Stonewall,Texas,48433,0
Sterling,Texas,48431,0
Stephens,Texas,48429,0
Starr,Texas,48427,0
Somervell,Texas,48425,0
Smith,Texas,48423,0
Sherman,Texas,48421,0
Shelby,Texas,48419,0
Shackelford,Texas,48417,0
Scurry,Texas,48415,0
Schleicher,Texas,48413,0
San Saba,Texas,48411,0
San Patricio,Texas,48409,0
San Jacinto,Texas,48407,0
San Augustine,Texas,48405,0
Sabine,Texas,48403,0
Rusk,Texas,48401,0
Runnels,Texas,48399,0
Rockwall,Texas,48397,1
Robertson,Texas,48395,0
Roberts,Texas,48393,0
Refugio,Texas,48391,0
Reeves,Texas,48389,0
Red River,Texas,48387,0
Real,Texas,48385,0
Reagan,Texas,48383,0
Randall,Texas,48381,0
Rains,Texas,48379,0
Presidio,Texas,48377,0
Potter,Texas,48375,0
Polk,Texas,48373,0
Pecos,Texas,48371,0
Parmer,Texas,48369,0
Parker,Texas,48367,0
Panola,Texas,48365,0
Palo Pinto,Texas,48363,0
Orange,Texas,48361,0
Oldham,Texas,48359,0
Ochiltree,Texas,48357,0
Nueces,Texas,48355,0
Nolan,Texas,48353,0
Newton,Texas,48351,0
Navarro,Texas,48349,0
Nacogdoches,Texas,48347,0
Motley,Texas,48345,0
Morris,Texas,48343,0
Moore,Texas,48341,0
Montgomery,Texas,48339,0
Montague,Texas,48337,0
Mitchell,Texas,48335,0
Mills,Texas,48333,0
Milam,Texas,48331,0
Midland,Texas,48329,0
Menard,Texas,48327,0
Medina,Texas,48325,0
Maverick,Texas,48323,0
Matagorda,Texas,48321,0
Mason,Texas,48319,0
Martin,Texas,48317,0
Marion,Texas,48315,0
Madison,Texas,48313,0
McMullen,Texas,48311,0
McLennan,Texas,48309,0
McCulloch,Texas,48307,0
Lynn,Texas,48305,0
Lubbock,Texas,48303,0
Loving,Texas,48301,0
Llano,Texas,48299,0
Live Oak,Texas,48297,0
Lipscomb,Texas,48295,0
Limestone,Texas,48293,0
Liberty,Texas,48291,0
Leon,Texas,48289,0
Lee,Texas,48287,0
Lavaca,Texas,48285,0
La Salle,Texas,48283,0
Lampasas,Texas,48281,0
Lamb,Texas,48279,0
Lamar,Texas,48277,0
Knox,Texas,48275,0
Kleberg,Texas,48273,1
Kinney,Texas,48271,0
King,Texas,48269,0
Kimble,Texas,48267,0
Kerr,Texas,48265,0
Kent,Texas,48263,0
Kenedy,Texas,48261,0
Kendall,Texas,48259,0
Kaufman,Texas,48257,0
Karnes,Texas,48255,0
Jones,Texas,48253,0
Johnson,Texas,48251,0
Jim Wells,Texas,48249,0
Jim Hogg,Texas,48247,0
Jefferson,Texas,48245,2
Jeff Davis,Texas,48243,0
Jasper,Texas,48241,0
Jackson,Texas,48239,0
Jack,Texas,48237,0
Irion,Texas,48235,0
Hutchinson,Texas,48233,0
Hunt,Texas,48231,0
Hudspeth,Texas,48229,0
Howard,Texas,48227,0
Houston,Texas,48225,0
Hopkins,Texas,48223,0
Hood,Texas,48221,0
Hockley,Texas,48219,0
Hill,Texas,48217,0
Hidalgo,Texas,48215,0
Henderson,Texas,48213,0
Hemphill,Texas,48211,0
Hays,Texas,48209,0
Haskell,Texas,48207,0
Hartley,Texas,48205,0
Harrison,Texas,48203,0
Harris,Texas,48201,1
Hardin,Texas,48199,0
Hardeman,Texas,48197,0
Hansford,Texas,48195,0
Hamilton,Texas,48193,0
Hall,Texas,48191,0
Hale,Texas,48189,0
Guadalupe,Texas,48187,0
Grimes,Texas,48185,0
Gregg,Texas,48183,0
Grayson,Texas,48181,0
Gray,Texas,48179,3
Gonzales,Texas,48177,0
Goliad,Texas,48175,0
Glasscock,Texas,48173,0
Gillespie,Texas,48171,0
Garza,Texas,48169,0
Galveston,Texas,48167,0
Gaines,Texas,48165,0
Frio,Texas,48163,0
Freestone,Texas,48161,0
Franklin,Texas,48159,0
Fort Bend,Texas,48157,1
Foard,Texas,48155,0
Floyd,Texas,48153,0
Fisher,Texas,48151,0
Fayette,Texas,48149,0
Fannin,Texas,48147,0
Falls,Texas,48145,0
Erath,Texas,48143,0
El Paso,Texas,48141,0
Ellis,Texas,48139,0
Edwards,Texas,48137,0
Ector,Texas,48135,0
Eastland,Texas,48133,0
Duval,Texas,48131,0
Donley,Texas,48129,0
Dimmit,Texas,48127,0
Dickens,Texas,48125,0
DeWitt,Texas,48123,0
Denton,Texas,48121,0
Delta,Texas,48119,0
Deaf Smith,Texas,48117,0
Dawson,Texas,48115,1
Dallas,Texas,48113,0
Dallam,Texas,48111,0
Culberson,Texas,48109,0
Crosby,Texas,48107,0
Crockett,Texas,48105,0
Crane,Texas,48103,0
Cottle,Texas,48101,0
Coryell,Texas,48099,0
Cooke,Texas,48097,0
Concho,Texas,48095,0
Comanche,Texas,48093,0
Comal,Texas,48091,0
Colorado,Texas,48089,0
Collingsworth,Texas,48087,0
Collin,Texas,48085,0
Coleman,Texas,48083,1
Coke,Texas,48081,2
Cochran,Texas,48079,0
Clay,Texas,48077,0
Childress,Texas,48075,0
Cherokee,Texas,48073,0
Chambers,Texas,48071,0
Castro,Texas,48069,1
Cass,Texas,48067,0
Carson,Texas,48065,0
Camp,Texas,48063,0
Cameron,Texas,48061,1
Callahan,Texas,48059,0
Calhoun,Texas,48057,0
Caldwell,Texas,48055,1
Burnet,Texas,48053,0
Burleson,Texas,48051,0
Brown,Texas,48049,0
Brooks,Texas,48047,0
Briscoe,Texas,48045,0
Brewster,Texas,48043,0
Brazos,Texas,48041,0
Brazoria,Texas,48039,0
Bowie,Texas,48037,0
Bosque,Texas,48035,2
Borden,Texas,48033,0
Blanco,Texas,48031,0
Bexar,Texas,48029,0
Bell,Texas,48027,0
Bee,Texas,48025,0
Baylor,Texas,48023,0
Bastrop,Texas,48021,0
Bandera,Texas,48019,0
Bailey,Texas,48017,0
Austin,Texas,48015,0
Atascosa,Texas,48013,0
Armstrong,Texas,48011,0
Archer,Texas,48009,2
Aransas,Texas,48007,1
Angelina,Texas,48005,0
Andrews,Texas,48003,0
Anderson,Texas,48001,0
Wilson,Tennessee,47189,1
Williamson,Tennessee,47187,1
White,Tennessee,47185,0
Weakley,Tennessee,47183,0
Wayne,Tennessee,47181,0
Washington,Tennessee,47179,0
Warren,Tennessee,47177,0
Van Buren,Tennessee,47175,0
Union,Tennessee,47173,0
Unicoi,Tennessee,47171,1
Trousdale,Tennessee,47169,0
Tipton,Tennessee,47167,0
Sumner,Tennessee,47165,1
Sullivan,Tennessee,47163,2
Stewart,Tennessee,47161,0
Smith,Tennessee,47159,0
Shelby,Tennessee,47157,3
Sevier,Tennessee,47155,0
Sequatchie,Tennessee,47153,0
Scott,Tennessee,47151,1
Rutherford,Tennessee,47149,1
Robertson,Tennessee,47147,2
Roane,Tennessee,47145,0
Rhea,Tennessee,47143,0
Putnam,Tennessee,47141,0
Polk,Tennessee,47139,0
Pickett,Tennessee,47137,0
Perry,Tennessee,47135,0
Overton,Tennessee,47133,0
Obion,Tennessee,47131,0
Morgan,Tennessee,47129,0
Moore,Tennessee,47127,0
Montgomery,Tennessee,47125,0
Monroe,Tennessee,47123,0
Meigs,Tennessee,47121,0
Maury,Tennessee,47119,0
Marshall,Tennessee,47117,0
Marion,Tennessee,47115,0
Madison,Tennessee,47113,0
Macon,Tennessee,47111,1
McNairy,Tennessee,47109,0
McMinn,Tennessee,47107,0
Loudon,Tennessee,47105,0
Lincoln,Tennessee,47103,0
Lewis,Tennessee,47101,0
Lawrence,Tennessee,47099,0
Lauderdale,Tennessee,47097,0
Lake,Tennessee,47095,0
Knox,Tennessee,47093,2
Johnson,Tennessee,47091,0
Jefferson,Tennessee,47089,0
Jackson,Tennessee,47087,0
Humphreys,Tennessee,47085,1
Houston,Tennessee,47083,1
Hickman,Tennessee,47081,0
Henry,Tennessee,47079,0
Henderson,Tennessee,47077,0
Haywood,Tennessee,47075,0
Hawkins,Tennessee,47073,2
Hardin,Tennessee,47071,0
Hardeman,Tennessee,47069,0
Hancock,Tennessee,47067,0
Hamilton,Tennessee,47065,0
Hamblen,Tennessee,47063,0
Grundy,Tennessee,47061,0
Greene,Tennessee,47059,1
Grainger,Tennessee,47057,0
Giles,Tennessee,47055,0
Gibson,Tennessee,47053,0
Franklin,Tennessee,47051,0
Fentress,Tennessee,47049,0
Fayette,Tennessee,47047,0
Dyer,Tennessee,47045,0
Dickson,Tennessee,47043,3
DeKalb,Tennessee,47041,0
Decatur,Tennessee,47039,0
Davidson,Tennessee,47037,4
Cumberland,Tennessee,47035,0
Crockett,Tennessee,47033,0
Coffee,Tennessee,47031,0
Cocke,Tennessee,47029,0
Clay,Tennessee,47027,0
Claiborne,Tennessee,47025,1
Chester,Tennessee,47023,0
Cheatham,Tennessee,47021,0
Carter,Tennessee,47019,0
Carroll,Tennessee,47017,0
Cannon,Tennessee,47015,0
Campbell,Tennessee,47013,0
Bradley,Tennessee,47011,0
Blount,Tennessee,47009,1
Bledsoe,Tennessee,47007,0
Benton,Tennessee,47005,0
Bedford,Tennessee,47003,0
Anderson,Tennessee,47001,1
Ziebach,South Dakota,46137,0
Yankton,South Dakota,46135,0
Walworth,South Dakota,46129,0
Union,South Dakota,46127,0
Turner,South Dakota,46125,0
Tripp,South Dakota,46123,0
Todd,South Dakota,46121,0
Sully,South Dakota,46119,0
Stanley,South Dakota,46117,0
Spink,South Dakota,46115,0
Sanborn,South Dakota,46111,0
Roberts,South Dakota,46109,2
Potter,South Dakota,46107,0
Perkins,South Dakota,46105,0
Pennington,South Dakota,46103,0
Oglala Lakota,South Dakota,46102,0
Moody,South Dakota,46101,0
Minnehaha,South Dakota,46099,3
Miner,South Dakota,46097,1
Mellette,South Dakota,46095,0
Meade,South Dakota,46093,0
Marshall,South Dakota,46091,0
McPherson,South Dakota,46089,0
McCook,South Dakota,46087,0
Lyman,South Dakota,46085,0
Lincoln,South Dakota,46083,2
Lawrence,South Dakota,46081,0
Lake,South Dakota,46079,0
Kingsbury,South Dakota,46077,0
Jones,South Dakota,46075,0
Jerauld,South Dakota,46073,0
Jackson,South Dakota,46071,0
Hyde,South Dakota,46069,0
Hutchinson,South Dakota,46067,0
Hughes,South Dakota,46065,1
Harding,South Dakota,46063,0
Hanson,South Dakota,46061,0
Hand,South Dakota,46059,0
Hamlin,South Dakota,46057,0
Haakon,South Dakota,46055,0
Gregory,South Dakota,46053,0
Grant,South Dakota,46051,1
Faulk,South Dakota,46049,0
Fall River,South Dakota,46047,0
Edmunds,South Dakota,46045,0
Douglas,South Dakota,46043,0
Dewey,South Dakota,46041,0
Deuel,South Dakota,46039,0
Day,South Dakota,46037,0
Davison,South Dakota,46035,0
Custer,South Dakota,46033,0
Corson,South Dakota,46031,0
Codington,South Dakota,46029,0
Clay,South Dakota,46027,0
Clark,South Dakota,46025,0
Charles Mix,South Dakota,46023,0
Campbell,South Dakota,46021,0
Butte,South Dakota,46019,0
Buffalo,South Dakota,46017,0
Brule,South Dakota,46015,0
Brown,South Dakota,46013,0
Brookings,South Dakota,46011,0
Bon Homme,South Dakota,46009,0
Bennett,South Dakota,46007,0
Beadle,South Dakota,46005,0
Aurora,South Dakota,46003,0
York,South Carolina,45091,6
Williamsburg,South Carolina,45089,1
Union,South Carolina,45087,0
Sumter,South Carolina,45085,1
Spartanburg,South Carolina,45083,2
Saluda,South Carolina,45081,0
Richland,South Carolina,45079,1
Pickens,South Carolina,45077,2
Orangeburg,South Carolina,45075,0
Oconee,South Carolina,45073,2
Newberry,South Carolina,45071,0
Marlboro,South Carolina,45069,1
Marion,South Carolina,45067,0
McCormick,South Carolina,45065,0
Lexington,South Carolina,45063,2
Lee,South Carolina,45061,0
Laurens,South Carolina,45059,0
Lancaster,South Carolina,45057,2
Kershaw,South Carolina,45055,1
Jasper,South Carolina,45053,1
Horry,South Carolina,45051,4
Hampton,South Carolina,45049,0
Greenwood,South Carolina,45047,0
Greenville,South Carolina,45045,2
Georgetown,South Carolina,45043,0
Florence,South Carolina,45041,1
Fairfield,South Carolina,45039,0
Edgefield,South Carolina,45037,0
Dorchester,South Carolina,45035,2
Dillon,South Carolina,45033,1
Darlington,South Carolina,45031,1
Colleton,South Carolina,45029,1
Clarendon,South Carolina,45027,1
Chesterfield,South Carolina,45025,0
Chester,South Carolina,45023,0
Cherokee,South Carolina,45021,0
Charleston,South Carolina,45019,1
Calhoun,South Carolina,45017,0
Berkeley,South Carolina,45015,0
Beaufort,South Carolina,45013,7
Barnwell,South Carolina,45011,1
Bamberg,South Carolina,45009,0
Anderson,South Carolina,45007,1
Allendale,South Carolina,45005,0
Aiken,South Carolina,45003,2
Abbeville,South Carolina,45001,0
Washington,Rhode Island,44009,241
Providence,Rhode Island,44007,403
Newport,Rhode Island,44005,110
Kent,Rhode Island,44003,158
Bristol,Rhode Island,44001,59
York,Pennsylvania,42133,333
Wyoming,Pennsylvania,42131,57
Westmoreland,Pennsylvania,42129,435
Wayne,Pennsylvania,42127,136
Washington,Pennsylvania,42125,150
Warren,Pennsylvania,42123,86
Venango,Pennsylvania,42121,215
Union,Pennsylvania,42119,39
Tioga,Pennsylvania,42117,63
Susquehanna,Pennsylvania,42115,79
Sullivan,Pennsylvania,42113,9
Somerset,Pennsylvania,42111,72
Snyder,Pennsylvania,42109,29
Schuylkill,Pennsylvania,42107,100
Potter,Pennsylvania,42105,49
Pike,Pennsylvania,42103,89
Philadelphia,Pennsylvania,42101,181
Perry,Pennsylvania,42099,55
Northumberland,Pennsylvania,42097,54
Northampton,Pennsylvania,42095,141
Montour,Pennsylvania,42093,7
Montgomery,Pennsylvania,42091,363
Monroe,Pennsylvania,42089,166
Mifflin,Pennsylvania,42087,4
Mercer,Pennsylvania,42085,144
McKean,Pennsylvania,42083,87
Lycoming,Pennsylvania,42081,78
Luzerne,Pennsylvania,42079,199
Lehigh,Pennsylvania,42077,211
